Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788186039122756.779	,1788186039122756.786	
1,N/A,AICPU_D,65535,3,73.174,1788186039135140.531	,1788186039135213.705	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.258,1788186039675419.503	,1788186039675425.761	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.132,1788186042402060.773	,1788186042402064.905	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788186042708161.576	,1788186042708161.583	
