Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788186057981299.167	,1788186057981299.174	
1,N/A,AICPU_D,65535,3,73.552,1788186057993640.301	,1788186057993713.853	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.084,1788186058543963.330	,1788186058543969.414	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.484,1788186061506406.757	,1788186061506411.241	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788186061751169.584	,1788186061751169.591	
