Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788186295242986.232	,1788186295242986.239	
1,N/A,AICPU_D,65535,3,66.445,1788186295254148.924	,1788186295254215.369	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,8.895,1788186295803830.709	,1788186295803839.604	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,5.831,1788186298884783.186	,1788186298884789.017	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788186299049266.534	,1788186299049266.541	
