Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,76.287,2,38.143,3.24,73.047,1218.254
host,acl,aclmdlRICaptureGetInfo,14.732,6,2.455,0.227,7.52,7.933
host,acl,aclnnInplaceNormal,1747.059,1,1747.059,1747.059,1747.059,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,541405.922,1,541405.922,541405.922,541405.922,0
host,acl,aclrtBinaryLoadFromData,77.354,1,77.354,77.354,77.354,0
host,acl,aclrtCreateStreamWithConfig,2136.877,2,1068.439,938.33,1198.547,16928.222
host,acl,aclrtCtxGetSysParamOpt,11.656,8,1.457,0.37,6.9,4.539
host,acl,aclrtCtxSetSysParamOpt,2.947,2,1.474,0.72,2.227,0.568
host,acl,aclrtDestroyStreamForce,705.598,1,705.598,705.598,705.598,0
host,acl,aclrtFree,21.985,1,21.985,21.985,21.985,0
host,acl,aclrtGetCurrentContext,1.758,1,1.758,1.758,1.758,0
host,acl,aclrtGetDeviceCount,6.25,2,3.125,2.413,3.837,0.507
host,acl,aclrtGetResInCurrentThread,2.323,2,1.162,0.193,2.13,0.938
host,acl,aclrtGetStreamAttribute,2.8,1,2.8,2.8,2.8,0
host,acl,aclrtLaunchKernelWithHostArgs,54.441,1,54.441,54.441,54.441,0
host,acl,aclrtMemcpy,243.664,2,121.832,114.842,128.822,48.86
host,acl,aclrtResetDevice,6.615,1,6.615,6.615,6.615,0
host,acl,aclrtSetDevice,46.674,1,46.674,46.674,46.674,0
host,acl,aclrtSetOpExecuteTimeOutV2,1149.32,1,1149.32,1149.32,1149.32,0
host,acl,aclrtSetStreamFailureMode,13.205,2,6.603,2.219,10.986,19.215
host,acl,aclrtSynchronizeDeviceWithTimeout,26.445,2,13.223,5.325,21.12,62.371
host,acl,aclrtSynchronizeStream,35.235,2,17.618,6.032,29.203,134.224
host,node,launch,1293.506,2,646.753,572.335,721.171,5538.039
