Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788189813552879.300	,1788189813552879.307	
1,N/A,AICPU_D,65535,3,64.335,1788189813564963.510	,1788189813565027.845	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,59,4,8.911,1788189814095168.845	,1788189814095177.756	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,59,5,5.044,1788189816887958.380	,1788189816887963.424	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788189818158684.286	,1788189818158684.293	
