Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,71.996,2,35.998,3.551,68.445,1052.808
host,acl,aclmdlRICaptureGetInfo,13.84,6,2.307,0.196,7.581,7.665
host,acl,aclnnInplaceNormal,1657.204,1,1657.204,1657.204,1657.204,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,523014.533,1,523014.533,523014.533,523014.533,0
host,acl,aclrtBinaryLoadFromData,72.331,1,72.331,72.331,72.331,0
host,acl,aclrtCreateStreamWithConfig,1967.732,2,983.866,884.75,1082.982,9823.981
host,acl,aclrtCtxGetSysParamOpt,9.435,8,1.179,0.336,5.079,2.445
host,acl,aclrtCtxSetSysParamOpt,3.133,2,1.567,0.69,2.443,0.768
host,acl,aclrtDestroyStreamForce,631.016,1,631.016,631.016,631.016,0
host,acl,aclrtFree,20.801,1,20.801,20.801,20.801,0
host,acl,aclrtGetCurrentContext,1.958,1,1.958,1.958,1.958,0
host,acl,aclrtGetDeviceCount,8.893,2,4.447,2.155,6.738,5.251
host,acl,aclrtGetResInCurrentThread,2.796,2,1.398,0.192,2.604,1.454
host,acl,aclrtGetStreamAttribute,2.925,1,2.925,2.925,2.925,0
host,acl,aclrtLaunchKernelWithHostArgs,44.452,1,44.452,44.452,44.452,0
host,acl,aclrtMemcpy,244.018,2,122.009,94.137,149.881,776.848
host,acl,aclrtResetDevice,5.194,1,5.194,5.194,5.194,0
host,acl,aclrtSetDevice,40.403,1,40.403,40.403,40.403,0
host,acl,aclrtSetOpExecuteTimeOutV2,1143.914,1,1143.914,1143.914,1143.914,0
host,acl,aclrtSetStreamFailureMode,13.22,2,6.61,2.148,11.072,19.909
host,acl,aclrtSynchronizeDeviceWithTimeout,35.303,2,17.652,7.35,27.953,106.121
host,acl,aclrtSynchronizeStream,37.164,2,18.582,17.336,19.828,1.553
host,node,launch,1250.723,2,625.362,557.851,692.872,4557.668
