Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788190048531302.299	,1788190048531302.306	
1,N/A,AICPU_D,65535,3,69.591,1788190048546411.912	,1788190048546481.503	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,57,4,8.647,1788190049071525.728	,1788190049071534.375	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,57,5,5.096,1788190052028101.308	,1788190052028106.404	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788190052531753.505	,1788190052531753.512	
