Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788190012278213.936	,1788190012278213.943	
1,N/A,AICPU_D,65535,3,68.062,1788190012290180.359	,1788190012290248.421	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,57,4,9.278,1788190012829167.065	,1788190012829176.343	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,57,5,5.081,1788190015607814.380	,1788190015607819.461	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788190016504504.981	,1788190016504504.988	
