Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788188609092236.550	,1788188609092236.557	
1,N/A,AICPU_D,65535,3,62.219,1788188609105033.684	,1788188609105095.903	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.345,1788188609730599.791	,1788188609730606.136	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,3.701,1788188612634961.273	,1788188612634964.974	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788188613112241.109	,1788188613112241.116	
