Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788188702224812.446	,1788188702224812.453	
1,N/A,AICPU_D,65535,3,66.556,1788188702236301.128	,1788188702236367.684	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,5.571,1788188702772574.952	,1788188702772580.523	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,2.962,1788188705641542.669	,1788188705641545.631	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788188706138095.386	,1788188706138095.393	
