Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
1,StatelessRandomNormalV3,AI_VECTOR_CORE,1,5.469,5.469,5.469,5.469,63.808
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,1,3.102,3.102,3.102,3.102,36.192
