Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788186529408977.043	,1788186529408977.050	
1,N/A,AICPU_D,65535,3,64.827,1788186529421217.414	,1788186529421282.241	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,8.838,1788186529984090.806	,1788186529984099.644	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,5.659,1788186532783685.986	,1788186532783691.645	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788186533258484.506	,1788186533258484.513	
