Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788190169066864.563	,1788190169066864.570	
1,N/A,AICPU_D,65535,3,69.723,1788190169078443.465	,1788190169078513.188	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,8.980,1788190169621188.242	,1788190169621197.222	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.753,1788190172671462.716	,1788190172671467.469	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788190173609117.484	,1788190173609117.491	
