Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788190264443813.337	,1788190264443813.344	
1,N/A,AICPU_D,65535,3,66.709,1788190264454396.779	,1788190264454463.488	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,8.810,1788190264975348.856	,1788190264975357.666	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.877,1788190268139291.574	,1788190268139296.451	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788190268648195.956	,1788190268648195.963	
