Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788186651031899.645	,1788186651031899.652	
1,N/A,AICPU_D,65535,3,66.782,1788186651045811.782	,1788186651045878.564	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,8.723,1788186651576888.354	,1788186651576897.077	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,6.250,1788186654437073.935	,1788186654437080.185	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788186654547003.544	,1788186654547003.551	
