Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788189466352247.064	,1788189466352247.071	
1,N/A,AICPU_D,65535,3,68.413,1788189466364241.410	,1788189466364309.823	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.166,1788189466900232.405	,1788189466900238.571	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.276,1788189469703748.522	,1788189469703752.798	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788189470428077.142	,1788189470428077.149	
