Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,72.013,2,36.007,3.128,68.885,1080.996
host,acl,aclmdlRICaptureGetInfo,14.589,6,2.432,0.234,7.809,8.006
host,acl,aclnnInplaceNormal,1654.484,1,1654.484,1654.484,1654.484,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,519995.352,1,519995.352,519995.352,519995.352,0
host,acl,aclrtBinaryLoadFromData,79.267,1,79.267,79.267,79.267,0
host,acl,aclrtCreateStreamWithConfig,2458.023,2,1229.012,1120.4,1337.623,11796.458
host,acl,aclrtCtxGetSysParamOpt,11.451,8,1.431,0.346,7.002,4.6
host,acl,aclrtCtxSetSysParamOpt,3.369,2,1.685,0.699,2.67,0.971
host,acl,aclrtDestroyStreamForce,562.632,1,562.632,562.632,562.632,0
host,acl,aclrtFree,16.373,1,16.373,16.373,16.373,0
host,acl,aclrtGetCurrentContext,7.294,1,7.294,7.294,7.294,0
host,acl,aclrtGetDeviceCount,7.998,2,3.999,2.143,5.855,3.445
host,acl,aclrtGetResInCurrentThread,2.252,2,1.126,0.222,2.03,0.817
host,acl,aclrtGetStreamAttribute,3.15,1,3.15,3.15,3.15,0
host,acl,aclrtLaunchKernelWithHostArgs,59.837,1,59.837,59.837,59.837,0
host,acl,aclrtMemcpy,95.808,2,47.904,47.247,48.561,0.432
host,acl,aclrtResetDevice,5.156,1,5.156,5.156,5.156,0
host,acl,aclrtSetDevice,39.5,1,39.5,39.5,39.5,0
host,acl,aclrtSetOpExecuteTimeOutV2,1146.657,1,1146.657,1146.657,1146.657,0
host,acl,aclrtSetStreamFailureMode,12.551,2,6.276,2.128,10.423,17.202
host,acl,aclrtSynchronizeDeviceWithTimeout,35.005,2,17.502,7.898,27.107,92.246
host,acl,aclrtSynchronizeStream,32.839,2,16.42,4.648,28.191,138.568
host,node,launch,1238.412,2,619.206,551.95,686.462,4523.37
