Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
1,StatelessRandomNormalV3,AI_VECTOR_CORE,1,6.088,6.088,6.088,6.088,57.948
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,1,4.418,4.418,4.418,4.418,42.052
