Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
1,StatelessRandomNormalV3,AI_VECTOR_CORE,1,5.862,5.862,5.862,5.862,65.791
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,1,3.048,3.048,3.048,3.048,34.209
