Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,66.136,2,33.068,3.431,62.705,878.352
host,acl,aclmdlRICaptureGetInfo,16.297,6,2.716,0.212,10.024,12.58
host,acl,aclnnInplaceNormal,1781.343,1,1781.343,1781.343,1781.343,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,560446.2,1,560446.2,560446.2,560446.2,0
host,acl,aclrtBinaryLoadFromData,73.516,1,73.516,73.516,73.516,0
host,acl,aclrtCreateStreamWithConfig,2803.01,2,1401.505,1158.017,1644.993,59286.406
host,acl,aclrtCtxGetSysParamOpt,14.742,8,1.843,0.542,7.073,4.39
host,acl,aclrtCtxSetSysParamOpt,3.227,2,1.614,0.606,2.621,1.015
host,acl,aclrtDestroyStreamForce,597.34,1,597.34,597.34,597.34,0
host,acl,aclrtFree,17.194,1,17.194,17.194,17.194,0
host,acl,aclrtGetCurrentContext,2.023,1,2.023,2.023,2.023,0
host,acl,aclrtGetDeviceCount,8.362,2,4.181,3.272,5.09,0.826
host,acl,aclrtGetResInCurrentThread,2.189,2,1.095,0.191,1.998,0.816
host,acl,aclrtGetStreamAttribute,3.043,1,3.043,3.043,3.043,0
host,acl,aclrtLaunchKernelWithHostArgs,64.342,1,64.342,64.342,64.342,0
host,acl,aclrtMemcpy,92.084,2,46.042,38.601,53.483,55.368
host,acl,aclrtResetDevice,5.574,1,5.574,5.574,5.574,0
host,acl,aclrtSetDevice,52.444,1,52.444,52.444,52.444,0
host,acl,aclrtSetOpExecuteTimeOutV2,1153.81,1,1153.81,1153.81,1153.81,0
host,acl,aclrtSetStreamFailureMode,14.837,2,7.419,2.907,11.93,20.354
host,acl,aclrtSynchronizeDeviceWithTimeout,19.364,2,9.682,6.287,13.077,11.526
host,acl,aclrtSynchronizeStream,27.568,2,13.784,4.228,23.34,91.317
host,node,launch,1310.301,2,655.151,562.907,747.394,8508.863
