Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,StatelessRandomNormalV3_Tiling,70.76,2,35.38,3.38,67.38,1024
host,acl,aclmdlRICaptureGetInfo,16.283,6,2.714,0.43,9.091,10.135
host,acl,aclnnInplaceNormal,1817.113,1,1817.113,1817.113,1817.113,0
host,acl,aclnnInplaceNormalGetWorkspaceSize,566732.178,1,566732.178,566732.178,566732.178,0
host,acl,aclrtBinaryLoadFromData,82.961,1,82.961,82.961,82.961,0
host,acl,aclrtCreateStreamWithConfig,2087.191,2,1043.595,932.979,1154.212,12236.01
host,acl,aclrtCtxGetSysParamOpt,12.322,8,1.54,0.354,7.245,4.913
host,acl,aclrtCtxSetSysParamOpt,2.71,2,1.355,0.64,2.07,0.511
host,acl,aclrtDestroyStreamForce,569.739,1,569.739,569.739,569.739,0
host,acl,aclrtFree,15.647,1,15.647,15.647,15.647,0
host,acl,aclrtGetCurrentContext,1.653,1,1.653,1.653,1.653,0
host,acl,aclrtGetDeviceCount,8.944,2,4.472,4.313,4.631,0.025
host,acl,aclrtGetResInCurrentThread,3.092,2,1.546,0.22,2.872,1.758
host,acl,aclrtGetStreamAttribute,3.16,1,3.16,3.16,3.16,0
host,acl,aclrtLaunchKernelWithHostArgs,66.369,1,66.369,66.369,66.369,0
host,acl,aclrtMemcpy,79.986,2,39.993,37.42,42.566,6.62
host,acl,aclrtResetDevice,14.977,1,14.977,14.977,14.977,0
host,acl,aclrtSetDevice,50.991,1,50.991,50.991,50.991,0
host,acl,aclrtSetOpExecuteTimeOutV2,1150.079,1,1150.079,1150.079,1150.079,0
host,acl,aclrtSetStreamFailureMode,14.831,2,7.416,2.244,12.587,26.744
host,acl,aclrtSynchronizeDeviceWithTimeout,18.364,2,9.182,5.656,12.708,12.433
host,acl,aclrtSynchronizeStream,25.993,2,12.997,3.932,22.061,82.165
host,node,launch,1342.743,2,671.372,566.932,775.811,10907.609
