Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788189287320468.341	,1788189287320468.348	
1,N/A,AICPU_D,65535,3,67.448,1788189287332474.973	,1788189287332542.421	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.105,1788189287868724.197	,1788189287868730.302	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.100,1788189290649595.154	,1788189290649599.254	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788189291222940.811	,1788189291222940.818	
