Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788189212925526.705	,1788189212925526.712	
1,N/A,AICPU_D,65535,3,67.460,1788189212937906.742	,1788189212937974.202	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.160,1788189213473506.480	,1788189213473512.640	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.133,1788189216234912.687	,1788189216234916.820	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788189217127449.553	,1788189217127449.560	
