Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788189193873344.276	,1788189193873344.283	
1,N/A,AICPU_D,65535,3,70.144,1788189193885967.007	,1788189193886037.151	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.069,1788189194534994.177	,1788189194535000.246	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.151,1788189197427083.475	,1788189197427087.626	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788189198124057.162	,1788189198124057.169	
