Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788185728079559.471	,1788185728079559.478	
1,N/A,AICPU_D,65535,3,63.455,1788185728092018.251	,1788185728092081.706	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,5.941,1788185728630437.456	,1788185728630443.397	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.693,1788185731370551.172	,1788185731370555.865	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788185732160615.619	,1788185732160615.626	
