Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
1,N/A,PLACE_HOLDER_SQE,65535,2,0.007,1788185690777290.381	,1788185690777290.388	
1,N/A,AICPU_D,65535,3,66.113,1788185690789764.378	,1788185690789830.491	
1,StatelessRandomNormalV3_1ea4bd0e3cd9df67072d9z7amgc9c583_high_performance_100,AI_VECTOR_CORE,61,4,6.457,1788185691348066.191	,1788185691348072.648	
1,_Z25softmax_tile_group_kernelPDhS_iiii,AI_CORE,61,5,4.362,1788185694136992.836	,1788185694136997.198	
1,N/A,PLACE_HOLDER_SQE,65535,6,0.007,1788185695149023.992	,1788185695149023.999	
